NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Boteco Do Rei;5.0;Um comentário;R. Jamaica, 200 - Antonio Diogo, Fortaleza - CE, 60183-700;Bar;;bar
Cearoca Bar e Restaurante;4.3;1.510 comentários;R. Braz de Francesco, 520 - São Gerardo, Fortaleza - CE, 60355-633;$$;25 min a 2 h;bar
Boteco da Vila;4.4;317 comentários;R. Pereira Filgueiras, 1111 - Aldeota, Fortaleza - CE, 60160-150;Bar e Grill;;bar
Barraca da Boa;4.2;7.972 comentários;Av. Beira Mar, 2571 - Meireles, Fortaleza - CE, 60165-121;$$;;bar
Bar do Aracati;4.0;4 comentários;Rua Dr. Atualpa Barbosa Lima, 125 - Praia de Iracema, Fortaleza - CE, 60060-370;Bar;;bar
Bar do Zé Bezerra;4.4;369 comentários;Rua Dom Manuel de Medeiros, 71 - Parque Araxá, Fortaleza - CE, 60450-605;$;;bar
Rancho do Poço;;;R. Oscar Benevides, 90 - Mondubim, Fortaleza - CE, 60762-270;$$;;bar
The Bar | Pub;4.5;3.103 comentários;Av. Lineu Machado, 1514 - João XXIII, Fortaleza - CE, 60525-566;$$;;bar
Moleskine Gastrobar;;;Rua Professor Dias da Rocha, 578 - Meireles, Fortaleza - CE, 60170-310;$$$;;bar
Abaeté Boteco;4.6;743 comentários;R. Barão de Aracati, 2899 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60115-082;$$;;bar
Torcida Fiel CE;4.7;92 comentários;R. Castro Alves, 513 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar;;bar
Villa Roma Pizza Bar;4.3;613 comentários;Rua Professor Dias da Rocha, 430 - Meireles, Fortaleza - CE, 60160-140;Pizzaria;1-3 horas;bar
Dizzy - Bar & Specialty Market;5.0;3 comentários;Rua Ildefonso Albano 195 Loja 3 Meireles - Praia de Iracema, Fortaleza - CE, 60115-000;Bar;;bar
Vibe 085;4.6;172 comentários;Rua Manuel Queirós, 511 - Cocó, Fortaleza - CE, 60192-220;$$;2-4,5 horas;bar
CASA VIP;;;R. Melvin Jones, 65 - Centro, Fortaleza - CE, 60055-450;;;bar
Astro;4.2;787 comentários;R. Sen. Pompeu, 2235 A - José Bonifacio, Fortaleza - CE, 60025-000;$;1,5-4,5 horas;bar
Bar Do Dé;4.3;45 comentários;Rua Fonseca Lobo, 100 - Aldeota, Fortaleza - CE, 60175-020;Bar;;bar
Bar e Lanchonete O Sobral;4.4;91 comentários;Rua 24 de Maio, 940 - Centro, Fortaleza - CE, 60020-001;$;;bar
Apelo Piadineria;;;R. Norvinda Píres, 55 - Aldeota, Fortaleza - CE, 60150-280;$$$;45 min a 3 h;bar
Brom's Bar Fun 4 You;3.8;9 comentários;Rua dos Potiguaras, 110 - Praia de Iracema, Fortaleza - CE, 60060-500;Bar;;bar
Bar Café;4.6;125 comentários;Av. Rogaciano Leite, 247 - Cocó, Fortaleza - CE, 60810-001;$;;bar
Soul Fit Juice Bar;4.5;139 comentários;R. Ana Bilhar, 987 - 3 - Meireles, Fortaleza - CE, 60160-110;Bar;;bar
Bar do Serginho;4.3;49 comentários;Av. Central, 183 - Cidade 2000, Fortaleza - CE, 60190-611;Bar;;bar
Deixe Comigo Bar;4.6;140 comentários;R. Castro Alves, 520 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60130-210;Bar;;bar
Zipi Bar;4.3;347 comentários;Av. Almirante Barroso, 944 - Praia de Iracema, Fortaleza - CE, 60060-440;$$;;bar
Barzinho Do Flavio;4.5;90 comentários;Tv. Ianês, 31 - Bonsucesso, Fortaleza - CE, 60721-060;$;20 min a 1,5 h;bar
