NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
ROTA DO ESPETO;;;Autonunes - Carandi, Fortaleza - CE, 60526-401;;;bar
Fortaleza;;;R. João Xavier, 652 - Cajazeiras, Fortaleza - CE, 60864-520;;;bar
Bar E MÚSICA;;;R. Antônio Augusto, 2332-2456 - Aldeota, Fortaleza - CE, 60110-371;;;bar
Fortaleza Ceará;;;Av. Bernardo Manuel, 7200 - Serrinha, Fortaleza - CE, 60741-280;;;bar
Ceara;;;R. Álvaro de Alencar, 206 - Jacarecanga, Fortaleza - CE, 60311-750;;;bar
Rua Renan Mota de freitas;;;R. Renan Mota de Freitas - Centro, Fortaleza - CE, 60050-040;;;bar
fortaleza ceará;;;R. Rio Araguaia, 722 - Jardim Iracema, Fortaleza - CE, 60340-000;;;bar
Imperial Lanches;4.0;2 comentários;R. Floriano Peixoto, 1040 - Centro, Fortaleza - CE, 60025-130;Bar;;bar
João da Bodega;;;R. do Pocinho, 135 - Centro, Fortaleza - CE, 60055-120;;;bar
Cléo Lanches;5.0;Um comentário;CE 060 - Centro, Redenção - CE, 60050-080;Bar;;bar
Bar Fortaleza Ceará;4.1;20 comentários;Av. da Barreira Grande, 3916 - Vila Bancaria, São Paulo - SP, 03916-000;Bar;;bar
Bar Fortaleza Ceara;;;Jardim Marista, Trindade - GO;;;bar
